,time,close,high,low,open,volume
0,2024-06-10,165.8398895263672,167.4967032376495,160.17907924962742,161.73728169615012,12418900
1,2024-06-11,163.4237060546875,166.08645114997907,161.5301830486996,165.8596136248081,11508600
2,2024-06-12,170.5933837890625,173.63089071132956,169.17324911909213,170.9681457292666,20309500
3,2024-06-13,171.0623321533203,172.20994031678197,168.6879688741854,171.10189808155732,15591800
4,2024-06-14,170.6665802001953,171.78451003093036,168.53956079582252,170.16203541337643,9192500
5,2024-06-17,175.34605407714844,176.76076613586102,171.62622302738401,175.9396335391468,18593700
6,2024-06-18,177.76988220214844,182.88463512658242,177.0773652377088,178.09635772018518,27155100
7,2024-06-20,173.50592041015625,181.21267099442352,171.6460049780297,180.62897926905987,28403200
8,2024-06-21,172.1011199951172,175.5834954161521,170.3698199930033,170.8644771364644,20175600
9,2024-06-24,166.01681518554688,169.58824008792305,165.3341859652436,168.60881358543529,19741700
10,2024-06-25,170.75563049316406,170.7951964175419,167.20398117687634,168.13393890498423,13346800
11,2024-06-26,170.23130798339844,171.8339922164846,168.38128009535865,170.28076161865192,11901500
12,2024-06-27,169.79598999023438,173.60484035634627,169.32110833603048,171.93289705120904,10864600
13,2024-06-28,171.9527130126953,174.93055866406206,170.9633987302719,170.9633987302719,11216100
14,2024-07-01,170.48851013183594,173.42677437965864,168.62859468991826,172.37810379074284,10717000
15,2024-07-02,173.82249450683594,174.821711467488,169.20239920138437,169.30133665545907,10655500
16,2024-07-03,180.53994750976562,180.53994750976562,175.9792086026476,176.08803376468998,11808700
17,2024-07-05,182.02392578125,183.1022746403537,180.35198236160542,182.17231687351682,11372900
18,2024-07-08,184.63571166992188,190.7397783961734,183.1517403884616,187.96969565163357,22582400
19,2024-07-09,182.54827880859375,186.42638905195344,180.54985969638054,186.08012300876098,19935200
20,2024-07-10,189.00848388671875,189.37452531581076,184.7049610110833,186.2680792830311,19293500
21,2024-07-11,182.5284881591797,191.40263862856145,181.05440441925498,191.02669436431825,21584200
22,2024-07-12,185.3480224609375,188.34564329630288,180.79717107679727,181.11375886854887,19220300
23,2024-07-15,183.2407684326172,188.02904530509892,182.11295090321883,186.6637869447666,15683100
24,2024-07-16,184.052001953125,187.56407028356625,183.04291236641572,186.25818342605106,16663300
25,2024-07-17,169.37059020996094,174.69310550538998,168.6879609878201,173.34763757217038,45052600
26,2024-07-18,170.03341674804688,176.78054644216795,162.7520640593911,173.6246319139975,52903600
27,2024-07-19,163.9986114501953,168.69785367925425,163.4544856466308,167.36227353375364,22585300
28,2024-07-22,167.54037475585938,169.05402435503754,164.40423529012423,164.82964826862667,21037200
29,2024-07-23,168.00534057617188,169.70694707042855,166.1751033126924,167.60960584841982,11690700
30,2024-07-24,158.0924072265625,163.68202624316098,157.88464460894696,163.3258725384888,19536600
31,2024-07-25,158.56727600097656,161.65393142047157,150.48458093952664,156.46993476421574,25731800
